"abandoned","abandonado"
"inexcusably","inexcusably"
"inexorable","inexorável"
"inexorably","inexoravelmente"
"inexperience","inexperiência"
"inexperienced","inexperiente"
"inexpert","inexpert"
"inexpertly","inexpertly"
"inexpiable","inexpiável"
"inexplainable","inexplainable"
"inexplicable","inexplicável"
"inextricable","inextricável"
"inextricably","inextricavelmente"
"infamous","infame"
"infamously","infame"
"infamy","infâmia"
"infected","infectado"
"inferior","inferior"
"inferiority","inferioridade"
"infernal","infernal"
"infest","infestar"
"infested","infestada"
"infidel","infiel"
"infidels","infiéis"
"infiltrator","infiltrator"
"infiltrators","infiltrados"
"infiltrators","infiltrados"
"infirm","enfermos"
"inflame","inflamar"
"inflammatory","inflamatória"
"inflated","inflado"
"inflationary","inflacionário"
"inflexible","inflexível"
"inflict","infligir"
"infraction","infração"
"infringe","infringir"
"infringement","violação"
"infringements","infracções"
"infringements","infracções"
"infuriate","enfurecer"
"infuriated","enfureceu"
"infuriating","enfurecedor"
"infuriatingly","infuriatingly"
"inglorious","inglória"
"ingrate","ingrato"
"ingratitude","ingratidão"
"inhibit","inibir"
"inhibition","inibição"
"inhospitable","inóspito"
"inhospitality","inospitalidade"
"inhuman","desumano"
"inhumane","desumano"
"inhumanity","desumanidade"
"inimical","inimical"
"inimically","hostilmente"
"iniquitous","iníqua"
"iniquity","iniqüidade"
"injudicious","injudicious"
"injure","ferir"
"injurious","prejudicial"
"injury","lesão"
"injustice","injustiça"
"injustice","injustiça"
"injustices","injustiças"
"injustices","injustiças"
"innuendo","insinuação"
"innuendo","insinuação"
"inopportune","inoportuno"
"inordinate","desordenado"
"inordinately","desordenadamente"
"insane","insano"
"insanely","insanamente"
"insanity","insanidade"
"insatiable","insaciável"
"insecure","inseguro"
"insecurity","insegurança"
"insecurity","insegurança"
"insensible","insensível"
"insensitive","insensível"
"insensitively","insensitively"
"insensitivity","insensibilidade"
"insensitivity","insensibilidade"
"insidious","insidioso"
"insidiously","insidiosamente"
"insignificance","insignificância"
"insignificant","insignificante"
"insignificantly","insignificantemente"
"insincere","insincero"
"insincerely","insinceramente"
"insincerity","insinceridade"
"insinuate","insinuar"
"insinuating","insinuante"
"insinuation","insinuação"
"insinuation","insinuação"
"insociable","insociable"
"isolation","isolamento"
"insolence","insolência"
"insolence","insolência"
"insolent","insolente"
"insolently","insolentemente"
"insolvent","insolvente"
"insouciance","despreocupação"
"instability","instabilidade"
"instable","instável"
"instigate","instigar"
"instigator","instigador"
"instigators","instigadores"
"insubordinate","insubordinado"
"insubstantial","insubstancial"
"insubstantially","insubstantially"
"insufferable","insuportável"
"insufferably","insuportavelmente"
"insufficiency","insuficiência"
"insufficient","insuficiente"
"insufficiently","insuficientemente"
"insular","insular"
"insult","insulto"
"insult","insulto"
"insulted","insultado"
"insulting","insultante"
"insulting","insultante"
"insultingly","insultingly"
"insupportable","insuportável"
"insupportably","insuportavelmente"
"insurmountable","intransponível"
"insurmountably","insurmountably"
"insurrection","insurreição"
"insurrection","insurreição"
"interfere","interferir"
"interference","interferência"
"interference","interferência"
"intermittent","intermitente"
"interrupt","interromper"
"interruption","interrupção"
"intimidate","intimidar"
"intimidating","intimidante"
"intimidatingly","intimidatingly"
"intimidation","intimidação"
"intimidation","intimidação"
"intolerable","intolerável"
"intolerablely","intolerablely"
"intolerance","intolerância"
"intolerance","intolerância"
"intolerant","intolerante"
"intoxicate","intoxicar"
"intractable","intratável"
"intransigence","intransigência"
"intransigence","intransigência"
"intransigent","intransigente"
"intrude","intrometer"
"intrusion","intrusão"
"intrusive","intrusiva"
"inundate","inundar"
"inundated","inundados"
"invader","invasor"
"invader","invasor"
"invalid","inválido"
"invalidate","invalidar"
"invalidity","invalidez"
"invasive","invasivo"
"invective","invectiva"
"inveigle","seduzir"
"invidious","invidious"
"invidiously","maliciosamente"
"invidiousness","invidiousness"
"involuntarily","involuntariamente"
"involuntary","involuntário"
"irate","irado"
"irately","irado"
"ire","ire"
"irk","irritam"
"irksome","cansativo"
"ironic","irônica"
"ironies","ironias"
"ironies","ironias"
"irony","ironia"
"irrational","irracional"
"irrationality","irracionalidade"
"irrationally","irracionalmente"
"irreconcilable","irreconciliável"
"irredeemable","irredimível"
"irredeemably","irremediavelmente"
"irreformable","irreformável"
"irregular","irregular"
"irregularity","irregularidade"
"irrelevance","irrelevância"
"irrelevant","irrelevantes"
"irreparable","irreparáveis"
"irreplacible","irreplacible"
"irrepressible","irreprimível"
"irresolute","irresoluto"
"irresolvable","irresolvable"
"irresponsible","irresponsável"
"irresponsibly","irresponsavelmente"
"irretrievable","irrecuperável"
"irreverence","irreverência"
"irreverent","irreverente"
"irreverently","irreverentemente"
"irreversible","irreversível"
"irreversible","irreversível"
"irritable","irritável"
"irritably","irritada"
"irritant","irritante"
"irritate","irritar"
"irritated","irritada"
"irritating","irritante"
"irritation","irritação"
"irritation","irritação"
"isolate","isolar"
"isolated","isolado"
"isolation","isolamento"
"itch","itch"
"jabber","jabber"
"jaded","cansado"
"jam","jam"
"jar","jar"
"jaundiced","icterícia"
"jealous","ciúmes"
"jealously","ciosamente"
"jealousness","jealousness"
"jealousy","ciúme"
"jeer","jeer"
"jeer","jeer"
"jeering","jeering"
"jeeringly","zombeteiramente"
"jeers","vaias"
"jeopardize","pôr em risco"
"jeopardy","perigo"
"jerk","idiota"
"jittery","trêmulo"
"jobless","de desemprego"
"joker","Joker"
"jolt","sacudida"
"jumpy","jumpy"
"junk","lixo"
"junky","junky"
"juvenile","juvenil"
"kaput","kaput"
"keen","aguçada"
"keen","aguçada"
"kick","pontapé"
"kick","pontapé"
"kill","matar"
"killer","assassino"
"killer","assassino"
"killjoy","desmancha-prazeres"
"knave","valete"
"knife","faca"
"knock","bater"
"knock","bater"
"kook","kook"
"kooky","excêntrica"
"lack","falta"
"lack","falta"
"lackadaisical","lânguido"
"lackey","lacaio"
"lackeys","lacaios"
"lackeys","lacaios"
"lacking","falta"
"lackluster","sem brilho"
"laconic","lacônico"
"lag","lag"
"lambast","desancar"
"lambaste","lambaste"
"lame","lame"
"lame-duck","lame-duck"
"lament","lamento"
"lamentable","lamentável"
"lamentably","lamentavelmente"
"languid","lânguida"
"languish","definhar"
"lanky","magro"
"languor","langor"
"languorous","lânguido"
"languorously","languorously"
"lapse","lapso"
"lascivious","lascivo"
"last-ditch","de última hora"
"last-ditch","de última hora"
"laugh","risada"
"laugh","risada"
"laughable","risível"
"laughably","laughably"
"laughingstock","laughingstock"
"laughter","riso"
"lawbreaker","lawbreaker"
"lawbreaking","lawbreaking"
"lawless","sem lei"
"lawlessness","ilegalidade"
"lawlessness","ilegalidade"
"lax","negligente"
"lax","negligente"
"lazy","preguiçoso"
"leak","vazamento"
"leakage","vazamento"
"leaky","gotejante"
"least","menos"
"lech","Lech"
"lecher","devasso"
"lecher","devasso"
"lecherous","lascivo"
"lechery","lechery"
"lecture","palestra"
"lecture","palestra"
"leech","sanguessuga"
"leech","sanguessuga"
"leech","sanguessuga"
"leer","leer"
"leer","leer"
"leery","desconfiado"
"left-leaning","de esquerda"
"less","menos"
"less-developed","menos desenvolvidos"
"lessen","diminuir"
"lesser","menor"
"lesser-known","menos conhecidos"
"letch","letch"
"lethal","letal"
"lethargic","letárgico"
"lethargy","letargia"
"lewd","lascivo"
"lewdly","lewdly"
"lewdness","lascívia"
"liable","responsável"
"liability","responsabilidade"
"liability","responsabilidade"
"liar","mentiroso"
"liar","mentiroso"
"liars","mentirosos"
"liars","mentirosos"
"licentious","licencioso"
"licentiously","licenciosamente"
"licentiousness","licenciosidade"
"lie","mentira"
"lie","mentira"
"lie","mentira"
"lier","Lier"
"lies","mentiras"
"lies","mentiras"
"life-threatening","risco de vida"
"lifeless","sem vida"
"limit","limite"
"limit","limite"
"limitation","limitação"
"limited","limitada"
"limp","mancar"
"listless","apático"
"litigious","litigioso"
"little","pouco"
"little-known","pouco conhecido"
"livid","lívido"
"lividly","lividly"
"loath","relutantes"
"loathe","detesto"
"loathe","detesto"
"loathing","repugnância"
"loathly","repugnante"
"loathsome","repugnante"
"loathsomely","repugnantemente"
"lone","solitário"
"lone","solitário"
"loneliness","solidão"
"lonely","solitária"
"lonesome","solitário"
"long","longo"
"longing","saudade"
"longingly","saudade"
"loophole","brecha"
"loopholes","lacunas"
"loopholes","lacunas"
"loot","despojos"
"lorn","lorn"
"losing","perder"
"losing","perder"
"lose","perder"
"loser","perdedor"
"loss","perda"
"lost","perdido"
"lousy","péssimo"
"loveless","sem amor"
"lovelorn","apaixonado"
"low","baixo"
"low-rated","baixa audiência"
"lowly","humilde"
"ludicrous","ridículo"
"ludicrously","ridiculamente"
"lugubrious","lúgubre"
"lukewarm","morna"
"lull","calmaria"
"lunatic","lunatic"
"lunatic","lunatic"
"lunaticism","lunaticism"
"lurch","guinada"
"lure","atração"
"lurid","escabroso"
"lurk","espreite"
"lurking","à espreita"
"lure","atração"
"lying","mentindo"
"macabre","macabro"
"mad","louco"
"madden","Madden"
"maddening","enlouquecedora"
"maddeningly","maddeningly"
"madder","madder"
"madder","madder"
"madly","loucamente"
"madman","madman"
"madness","loucura"
"maladjusted","desajustado"
"maladjustment","desajustamento"
"malady","doença"
"malaise","mal-estar"
"malcontent","descontente"
"malcontent","descontente"
"malcontented","malversada"
"maledict","maledict"
"maledict","maledict"
"malevolence","malevolência"
"malevolent","malévolo"
"malevolently","malevolamente"
"malice","malícia"
"malicious","malicioso"
"maliciously","maliciosamente"
"maliciousness","maliciousness"
"malign","maligna"
"malign","maligna"
"malignant","maligno"
"malodorous","malodorous"
"maltreatment","maus-tratos"
"maltreatment","maus-tratos"
"maneuver","manobra"
"maneuver","manobra"
"mangle","mangle"
"mania","mania"
"maniac","maníaco"
"maniacal","maníaco"
"manic","maníaco"
"manipulate","manipular"
"manipulation","manipulação"
"manipulation","manipulação"
"manipulative","manipuladora"
"manipulators","manipuladores"
"manipulators","manipuladores"
"mar","mar"
"mar","mar"
"marginal","marginal"
"marginally","marginalmente"
"martyrdom","martírio"
"martyrdom-seeking","martírio-seeking"
"massacre","massacre"
"massacre","massacre"
"massacres","massacres"
"maverick","maverick"
"mawkish","mawkish"
"mawkishly","mawkishly"
"mawkishness","pieguice"
"maxi-devaluation","maxi-desvalorização"
"maxi-devaluation","maxi-desvalorização"
"meager","parca"
"mean","significa"
"meaningless","sem sentido"
"meanness","mesquinhez"
"meddle","intrometer"
"meddlesome","intrometido"
"mediocre","medíocre"
"mediocrity","mediocridade"
"melancholy","melancolia"
"melodramatic","melodramático"
"melodramatically","melodramaticamente"
"menace","ameaça"
"menace","ameaça"
"menacing","ameaçador"
"menacingly","ameaçadoramente"
"mendacious","mentirosa"
"mendacity","falsidade"
"menial","servil"
"merciless","impiedosa"
"mercilessly","impiedosamente"
"mere","mero"
"mere","mero"
"merely","apenas"
"mess","bagunça"
"mess","bagunça"
"messy","bagunçado"
"midget","anão"
"midget","anão"
"miff","miff"
"militancy","militância"
"militancy","militância"
"mind","mente"
"mindless","estúpido"
"mindlessly","negligentemente"
"mirage","miragem"
"mirage","miragem"
"mire","mire"
"mire","mire"
"misapprehend","entender bem"
"misbecoming","misbecoming"
"misbecome","misbecome"
"misbegotten","misbegotten"
"misbehave","portar-se mal"
"misbehavior","mau comportamento"
"miscalculate","calcular mal"
"miscalculation","erro de cálculo"
"miscalculation","erro de cálculo"
"mischief","travessura"
"mischief","travessura"
"mischievous","travesso"
"mischievously","maliciosamente"
"misconception","equívoco"
"misconceptions","equívocos"
"misconceptions","equívocos"
"miscreant","miscreant"
"miscreants","canalhas"
"misdirection","desorientação"
"miser","avarento"
"miserly","avarento"
"miserable","miserável"
"miserableness","miserableness"
"miserably","miseravelmente"
"miseries","misérias"
"misery","miséria"
"misery","miséria"
"misfit","desajuste"
"misfortune","infortúnio"
"misgiving","misgiving"
"misgivings","dúvidas"
"misguidance","desorientação"
"misguide","desencaminhar"
"misguided","equivocada"
"mishandle","maltratar"
"mishap","acidente"
"misinform","desinformar"
"misinformed","mal informado"
"misinterpret","interpretar mal"
"misjudge","menosprezar"
"misjudgment","erro de julgamento"
"mislead","enganar"
"mislead","enganar"
"misleading","enganosa"
"misleadingly","enganosamente"
"mislike","mislike"
"mismanage","mismanage"
"misread","mal interpretado"
"misreading","leitura errada"
"misreading","leitura errada"
"misrepresent","deturpar"
"misrepresentation","deturpação"
"miss","falta"
"misstatement","distorção"
"mistake","erro"
"mistake","erro"
"mistakes","erros"
"mistakes","erros"
"mistrust","desconfiança"
"mistrust","desconfiança"
"mistrustful","desconfiados"
"mistrustfully","desconfiança"
"misunderstand","entenda mal"
"misunderstood","incompreendido"
"misunderstanding","mal-entendido"
"misunderstanding","mal-entendido"
"misunderstanding","mal-entendido"
"misunderstandings","mal-entendidos"
"misunderstandings","mal-entendidos"
"misuse","uso indevido"
"moan","gemido"
"mock","simulada"
"mock","simulada"
"mockeries","zombarias"
"mockery","zombaria"
"mocking","zombeteiro"
"mockingly","zombeteiramente"
"molest","molestá"
"molestation","abuso sexual"
"monotonous","monótona"
"monotony","monotonia"
"monster","monstro"
"monstrosities","monstruosidades"
"monstrosity","monstruosidade"
"monstrous","monstruoso"
"monstrously","monstruosamente"
"moody","moody"
"moon","lua"
"moot","moot"
"mope","mope"
"morbid","mórbida"
"morbidly","morbidamente"
"mordant","mordente"
"mordantly","mordacidade"
"moribund","moribundo"
"mortification","mortificação"
"mortified","mortificado"
"mortify","mortificar"
"mortifying","mortificante"
"mortifying","mortificante"
"motionless","imóvel"
"motley","Motley"
"mourn","choram"
"mourner","enlutado"
"mournful","triste"
"mournfully","tristemente"
"muddle","trapalhada"
"muddy","lamacento"
"mudslinger","Mudslinger"
"mudslinging","mudslinging"
"mulish","teimosa"
"multi-polarization","multi-polarização"
"multi-polarization","multi-polarização"
"mundane","mundano"
"murder","assassinato"
"murder","assassinato"
"murderous","assassina"
"murderously","murderously"
"murky","turva"
"muscle-flexing","músculo-flexão"
"mysterious","misterioso"
"mysteriously","misteriosamente"
"mystery","mistério"
"mystify","mistificar"
"mistified","mistified"
"myth","mito"
"myth","mito"
"nag","nag"
"nagging","lancinante"
"naive","ingênua"
"naively","ingenuamente"
"narrow","estreito"
"narrower","mais estreito"
"narrower","mais estreito"
"nastily","nastily"
"nastiness","sordidez"
"nasty","desagradável"
"nationalism","nacionalismo"
"nationalism","nacionalismo"
"naughty","impertinente"
"nauseate","enjoar"
"nauseating","nauseante"
"nauseatingly","nauseatingly"
"nebulous","nebuloso"
"nebulous","nebuloso"
"nebulously","nebulosamente"
"need","precisa"
"need","precisa"
"needless","desnecessário"
"needlessly","desnecessariamente"
"needy","necessitados"
"nefarious","nefasto"
"nefariously","nefariously"
"negate","negar"
"negation","negação"
"negative","negativo"
"neglect","negligência"
"neglect","negligência"
"neglected","negligenciadas"
"negligent","negligente"
"negligence","negligência"
"negligible","desprezível"
"nemesis","nemesis"
"nettle","urtiga"
"nettlesome","nettlesome"
"nervous","nervoso"
"nervously","nervosamente"
"nervousness","nervosismo"
"neurotic","neurótico"
"neurotically","neuroticamente"
"niggle","coisinha"
"nightmare","pesadelo"
"nightmarish","pesadelo"
"nightmarishly","nightmarishly"
"nix","nix"
"noisy","barulhento"
"non-confidence","não-confiança"
"non-confidence","não-confiança"
"nonexistent","inexistente"
"nonsense","absurdo"
"nosey","intrometida"
"notorious","notorious"
"notoriously","notoriamente"
"nuisance","incômodo"
"nuisance","incômodo"
"numb","entorpecido"
"obese","obeso"
"obese","obeso"
"object","objeto"
"objection","objeção"
"objection","objeção"
"objectionable","censurável"
"objections","objeções"
"objections","objeções"
"oblique","oblíqua"
"obliterate","obliterar"
"obliterated","obliterado"
"oblivious","alheio"
"oblivious","alheio"
"obnoxious","detestável"
"obnoxiously","ofensivamente"
"obscene","obsceno"
"obscenely","obscenamente"
"obscenity","obscenidade"
"obscure","obscura"
"obscure","obscura"
"obscurity","obscuridade"
"obsess","obcecar"
"obsession","obsessão"
"obsessions","obsessões"
"obsessive","obsessivo"
"obsessively","obsessivamente"
"obsessiveness","obsessão"
"obsolete","obsoletos"
"obstacle","obstáculo"
"obstacle","obstáculo"
"obstinate","obstinada"
"obstinately","obstinadamente"
"obstruct","obstruir"
"obstruction","obstrução"
"obtrusive","intrusivos"
"obtuse","obtuso"
"obviously","obviamente"
"odd","estranho"
"odd","estranho"
"odder","odder"
"oddest","mais estranha"
"oddities","esquisitices"
"oddities","esquisitices"
"oddity","esquisitice"
"oddly","estranhamente"
"offence","ofensa"
"offence","ofensa"
"offend","ofender"
"offend","ofender"
"offending","ofensor"
"offenses","crimes"
"offenses","crimes"
"offensive","ofensiva"
"offensive","ofensiva"
"offensive","ofensiva"
"offensively","ofensivamente"
"offensiveness","ofensividade"
"officious","officious"
"ominous","ameaçador"
"ominously","ameaçadoramente"
"omission","omissão"
"omit","omitir"
"one-side","um lado"
"one-sided","unilateral"
"onerous","oneroso"
"onerously","onerosamente"
"onslaught","ataque"
"onslaught","ataque"
"opinionated","opinativo"
"opponent","oponente"
"opportunistic","oportunista"
"oppose","opor-se"
"opposition","oposição"
"opposition","oposição"
"oppositions","oposições"
"oppositions","oposições"
"oppress","oprimir"
"oppression","opressão"
"oppression","opressão"
"oppressive","opressivo"
"oppressively","oppressively"
"oppressiveness","opressão"
"oppressors","opressores"
"oppressors","opressores"
"orphan","órfão"
"ostracize","ostracizar"
"outbreak","surto"
"outburst","explosão"
"outburst","explosão"
"outbursts","explosões"
"outbursts","explosões"
"outcast","pária"
"outcry","clamor"
"outdated","desatualizado"
"outlaw","ilegalizar"
"outmoded","antiquada"
"outrage","ultraje"
"outrage","ultraje"
"outraged","ultrajado"
"outrageous","ultrajante"
"outrageous","ultrajante"
"outrageously","escandalosamente"
"outrageousness","outrageousness"
"outrages","ultrajes"
"outsider","forasteiro"
"over-acted","sobre-actuado"
"over-valuation","sobrevalorização"
"over-valuation","sobrevalorização"
"overact","exagerar"
"overact","exagerar"
"overacted","overacted"
"overawe","intimidar"
"overbalance","overbalance"
"overbalanced","desequilibrou"
"overbearing","arrogante"
"overbearingly","overbearingly"
"overblown","exagerada"
"overcome","superar"
"overdo","exagere"
"overdone","exagerado"
"overdue","em atraso"
"overemphasize","exagerar"
"overkill","exagero"
"overlook","negligenciar"
"overplay","overplay"
"overpower","dominar"
"overreach","overreach"
"overrun","invadida"
"overshadow","ofuscar"
"oversight","supervisão"
"oversimplification","oversimplification"
"oversimplified","simplificada"
"oversimplify","simplificar"
"oversized","superdimensionada"
"overstate","exagerar"
"overstatement","exagero"
"overstatement","exagero"
"overstatements","overstatements"
"overtaxed","sobrecarregado"
"overthrow","derrubada"
"overturn","derrubar"
"overwhelm","sobrecarregar"
"overwhelming","esmagadora"
"overwhelmingly","esmagadoramente"
"overworked","Excesso de trabalho"
"overzealous","excesso de zelo"
"overzealously","overzealously"
"pain","dor"
"pain","dor"
"pain","dor"
"painful","dolorosa"
"painfully","dolorosamente"
"pains","dores"
"pains","dores"
"pale","pálido"
"pale","pálido"
"paltry","insignificante"
"pan","pan"
"pandemonium","pandemônio"
"panic","pânico"
"panic","pânico"
"panicky","em pânico"
"paradoxical","paradoxal"
"paradoxically","paradoxalmente"
"paralize","paralisar"
"paralyzed","paralisada"
"paranoia","paranóia"
"paranoid","paranóico"
"parasite","parasita"
"pariah","pária"
"parody","paródia"
"partiality","parcialidade"
"partiality","parcialidade"
"partisan","partidária"
"partisan","partidária"
"partisans","partisans"
"partisans","partisans"
"passe","passe"
"passive","passivo"
"passive","passivo"
"passiveness","passividade"
"passiveness","passividade"
"pathetic","patético"
"pathetically","pateticamente"
"patronize","apadrinhar"
"paucity","escassez"
"paucity","escassez"
"pauper","indigente"
"paupers","indigentes"
"paupers","indigentes"
"payback","retorno"
"payback","retorno"
"peculiar","peculiar"
"peculiarly","peculiarmente"
"pedantic","pedante"
"pedestrian","pedestre"
"peeve","implicância"
"peeved","peeved"
"peevish","peevish"
"peevishly","peevishly"
"penalize","penalizar"
"penalty","pena"
"penalty","pena"
"perfidious","pérfida"
"perfidity","perfidity"
"perfunctory","perfunctória"
"perfunctory","perfunctória"
"peril","peril"
"perilous","perigosa"
"perilously","perigosamente"
"peripheral","periférica"
"perish","perecer"
"pernicious","perniciosa"
"perplex","perplexo"
"perplexed","perplexo"
"perplexing","desconcertante"
"perplexity","perplexidade"
"persecute","perseguirem"
"persecution","perseguição"
"persecution","perseguição"
"pertinacious","pertinaz"
"pertinaciously","pertinácia"
"pertinacity","pertinácia"
"perturb","perturbar"
"perturbed","perturbada"
"perverse","perverso"
"perversely","perversamente"
"perversion","perversão"
"perversity","perversidade"
"pervert","pervertido"
"perverted","pervertido"
"pessimism","pessimismo"
"pessimistic","pessimista"
"pessimistically","pessimistically"
"pest","pragas"
"pestilent","pestilento"
"petrify","petrificar"
"petrified","petrificado"
"pettifog","pettifog"
"petty","mesquinho"
"phobia","fobia"
"phobic","fóbica"
"phony","falso"
"picky","picky"
"pillage","pilhagem"
"pillory","pelourinho"
"pinch","beliscar"
"pinch","beliscar"
"pine","pinheiro"
"pique","pique"
"pitiable","lastimável"
"pitiful","lamentável"
"pitifully","lamentavelmente"
"pitiless","impiedosa"
"pitilessly","impiedosamente"
"pittance","ninharia"
"pity","pena"
"pity","pena"
"plagiarize","plagiarize"
"plague","praga"
"plague","praga"
"plague","praga"
"plaything","brinquedo"
"plaything","brinquedo"
"plea","súplica"
"pleas","súplicas"
"pleas","súplicas"
"plebeian","plebeu"
"plight","situação"
"plot","plot"
"plotters","plotters"
"plotters","plotters"
"ploy","estratagema"
"ploy","estratagema"
"plunder","pilhagem"
"plunderer","saqueador"
"pointless","inútil"
"pointlessly","inutilmente"
"poison","veneno"
"poison","veneno"
"poisonous","venenoso"
"poisonously","venenosamente"
"polarisation","polarização"
"polarisation","polarização"
"polemize","polemizar"
"pollute","poluir"
"polluter","poluidor"
"polluter","poluidor"
"polluters","poluidores"
"polluters","poluidores"
"polution","poluição"
"pompous","pomposo"
"poor","pobre"
"poorly","mal"
"posturing","postura"
"posturing","postura"
"pout","pout"
"poverty","pobreza"
"powerless","impotente"
"prate","prate"
"pratfall","pratfall"
"prattle","prattle"
"precarious","precária"
"precariously","precariamente"
"precipitate","precipitar"
"precipitous","precipitada"
"predatory","predatória"
"predicament","situação"
"prejudge","prejudica"
"prejudice","prejuízo"
"prejudice","prejuízo"
"prejudicial","prejudicial"
"premeditated","premeditado"
"preoccupy","preocupam"
"preposterous","absurdo"
"preposterously","preposterously"
"pressing","pressionando"
"pressing","pressionando"
"presume","presumir"
"presumptuous","presunçoso"
"presumptuous","presunçoso"
"presumptuously","presunçosamente"
"pretence","pretense"
"pretence","pretense"
"pretend","fingir"
"pretense","pretense"
"pretense","pretense"
"pretentious","pretensioso"
"pretentiously","pretensiosamente"
"prevaricate","prevaricar"
"pricey","caro"
"prickle","espinho"
"prickles","espinhos"
"prickles","espinhos"
"prideful","orgulhoso"
"primitive","primitiva"
"primitive","primitiva"
"prison","prisão"
"prisoner","prisioneiro"
"problem","problema"
"problematic","problemático"
"problematic","problemático"
"problems","problemas"
"problems","problemas"
"procrastinate","procrastinar"
"procrastination","procrastinação"
"profane","profano"
"profane","profano"
"profanity","profanidade"
"prohibit","proibir"
"prohibitive","proibitivo"
"prohibitively","proibitivamente"
"propaganda","propaganda"
"propaganda","propaganda"
"propagandize","propagandear"
"proscription","proscrição"
"proscription","proscrição"
"proscriptions","proscrições"
"proscriptions","proscrições"
"prosecute","processar"
"protest","protesto"
"protest","protesto"
"play","brincadeira"
"protest","protesto"
"protests","protestos"
"protests","protestos"
"protracted","prolongada"
"provocation","provocação"
"provocation","provocação"
"provocative","provocante"
"provocative","provocante"
"provoke","provocar"
"pry","pry"
"pugnacious","combativo"
"pugnaciously","belicosamente"
"pugnacity","combatividade"
"punch","soco"
"punch","soco"
"punish","punir"
"punishable","punível"
"punitive","punitiva"
"punitive","punitiva"
"puny","insignificante"
"puppet","fantoche"
"puppet","fantoche"
"puppets","fantoches"
"puppets","fantoches"
"puzzle","quebra-cabeça"
"puzzled","intrigado"
"puzzlement","perplexidade"
"puzzling","intrigante"
"quack","quack"
"qualms","escrúpulos"
"qualms","escrúpulos"
"quandary","dilema"
"quarrel","discussão"
"quarrel","discussão"
"quarrel","discussão"
"quarrellous","quarrellous"
"quarrellously","quarrellously"
"quarrels","querelas"
"quarrelsome","briguento"
"quash","anular"
"queer","estranha"
"questionable","questionável"
"questionable","questionável"
"quibble","quibble"
"quit","quit"
"quitter","desistente"
"racism","racismo"
"racism","racismo"
"racist","racista"
"racist","racista"
"racist","racista"
"racists","racistas"
"racists","racistas"
"rack","Rack"
"radical","radical"
"radical","radical"
"radical","radical"
"radicalization","radicalização"
"radicalization","radicalização"
"radically","radicalmente"
"radicals","radicais"
"rage","raiva"
"rage","raiva"
"ragged","irregular"
"raging","furioso"
"rail","trilho"
"rampage","Rampage"
"rampant","desenfreada"
"ramshackle","desorganizado"
"rancor","rancor"
"rank","classificação"
"rankle","rankle"
"rant","rant"
"rant","rant"
"ranting","ranting"
"rantingly","rantingly"
"rascal","patife"
"rash","rash"
"rat","rato"
"rationalize","racionalizar"
"rattle","chocalho"
"ravage","assolar"
"raving","delirante"
"reactionary","reacionário"
"rebellious","rebelde"
"rebuff","rebuff"
"rebuke","repreensão"
"recalcitrant","recalcitrante"
"recant","retratar"
"recession","recessão"
"recessionary","recessivo"
"reckless","imprudente"
"recklessly","imprudentemente"
"recklessness","imprudência"
"recoil","recuo"
"recourses","recourses"
"recourses","recourses"
"redundancy","redundância"
"redundant","redundante"
"refusal","recusa"
"refusal","recusa"
"refuse","recusar"
"refutation","refutação"
"refutation","refutação"
"refute","refutar"
"regress","regredir"
"regression","regressão"
"regressive","regressivo"
"regret","lamento"
"regret","lamento"
"regret","lamento"
"regretful","arrependida"
"regretfully","lamentavelmente"
"regrettable","lamentável"
"regrettably","lamentavelmente"
"reject","rejeitar"
"rejection","rejeição"
"rejection","rejeição"
"relapse","recaída"
"relentless","implacável"
"relentlessly","implacavelmente"
"relentlessness","implacabilidade"
"reluctance","relutância"
"reluctance","relutância"
"reluctant","relutantes"
"reluctantly","relutantemente"
"remorse","remorso"
"remorse","remorso"
"remorseful","remorso"
"remorseful","remorso"
"remorsefully","remorso"
"remorseless","remorseless"
"remorselessly","remorselessly"
"remorselessness","remorselessness"
"renounce","renunciar"
"renunciation","renúncia"
"repel","repelir"
"repetitive","repetitivo"
"reprehensible","repreensível"
"reprehensible","repreensível"
"reprehensibly","repreensivelmente"
"reprehension","repreensão"
"reprehensive","repreensiva"
"repress","reprimir"
"repression","repressão"
"repression","repressão"
"repressive","repressivo"
"reprimand","reprimenda"
"reproach","opróbrio"
"reproach","opróbrio"
"reproach","opróbrio"
"reproachful","censura"
"reprove","reprovar"
"reprovingly","reprovadora"
"repudiate","repudiar"
"repudiation","repúdio"
"repudiation","repúdio"
"repugn","repugn"
"repugnance","repugnância"
"repugnant","repugnante"
"repugnantly","repugnantemente"
"repulse","repulsa"
"repulsed","repelido"
"repulsing","repulsing"
"repulsive","repulsiva"
"repulsively","repulsively"
"repulsiveness","repulsiveness"
"resent","ressentir"
"resentful","ressentido"
"resentment","ressentimento"
"resentment","ressentimento"
"reservations","reservas"
"reservations","reservas"
"resigned","demitiu-se"
"resistance","resistência"
"resistance","resistência"
"resistant","resistente"
"resistant","resistente"
"restless","inquieto"
"restlessness","inquietação"
"restrict","restringir"
"restricted","restrito"
"restriction","restrição"
"restrictive","restritiva"
"retaliate","retaliar"
"retaliatory","retaliatória"
"retard","retard"
"reticent","reticentes"
"retire","aposentar"
"retract","retrair"
"retreat","retiro"
"retreat","retiro"
"revenge","vingança"
"revenge","vingança"
"revengeful","vingativo"
"revengefully","vingativamente"
